年份,名称,行业,年度营收（亿元）,年度碳排量（万吨）,碳排强度（吨/万元）,发电量（亿千瓦时）,上网电量（亿千瓦时）,市场化交易电量（亿千瓦时）,净利润（亿元）,每股收益,每股净资产,净资产收益率,销售毛利率,加权平均净资产收益率
2020,南方航空,航空,926,1932,2.09,-,-,-,-10,-0.2,2,-0.05,0.05,-0.06
2020,中国国航,航空,695,1504,2.16,,,,-20,-0.2,5,-0.04,0.1,-0.04
2020,中国东航,航空,586,1395,2.38,,,,-30,-0.3,4,-0.07,0.1,-0.07
2021,中国东航,航空,671,2275,3.39,,,,-122.3,-0.78,3.45,-0.03567,-0.0102,-0.03567
2021,南方航空,航空,1016,1924,1.89,,,,-121.5,-0.78,3.45,-0.03567,-0.0102,-0.03567
2021,中国国航,航空,745,1544,2.07,,,,166.42,1.2,3.45,0.3456,0.102,0.3456
2020,延长石油国际,石化,229,1379,6.01,,,,,,,,,
2020,上海石化,石化,747,1054,1.41,,,,1.02,0.02,2.25,0.0089,0.0701,0.0091
2020,中国石油,石化,19338,16744,0.87,,,,190.02,0.1,5.37,0.0186,0.2164,0.0191
2020,中国石化,石化,21060,17094,0.81,,,,329.24,0.26,4.5,0.0587,0.1925,0.0603
2020,中国海洋石油,石化,1554,935,0.6,,,,703.2,1.37,6.78,0.2027,0.3615,0.2092
2022,中国石化,石化,27409,17256,0.63,-,-,-,719,0.6,10,0.006,0.002,0.00058
2022,中国石油,石化,26143,15954,0.61,-,-,-,1443,0.7,12,0.012,0.0025,0.00118
2022,荣盛石化,石化,1770,10786,6.09,-,-,-,30,0.5,8,0.0038,0.0018,0.00037
2020,中国石化,石化,21060,17094,0.81,,,,329.2,0.27,6.12,0.044,0.191,0.044
2020,中国石油,石化,19338,16744,0.87,,,,190,0.1,7.2,0.014,0.203,0.014
2020,延长石油国际,石化,229,1379,6.01,,,,1,0.02,1,0.02,0.1,0.03
2020,上海石化,石化,747,1054,1.41,,,,10,0.2,3,0.06,0.2,0.07
2020,中国海洋石油,石化,1554,935,0.6,,,,300,0.7,6,0.1,0.3,0.12
2021,中国石化,石化,27409,17256,0.63,,,,712.8,0.59,6.78,0.0876,0.1890,0.0876
2021,中国石油,石化,26143,15954,0.61,,,,921.7,0.5,7.89,0.0634,0.201,0.0634
2021,荣盛石化,石化,1770,10786,6.09,,,,128.5,1.23,8.9,0.1378,0.156,0.1378
2021,中国海洋石油,石化,2461,1031,0.42,,,,703.2,1.57,9.34,0.1682,0.456,0.1682
2021,上海石化,石化,893,947,1.06,,,,20.3,0.18,3.45,0.0523,0.128,0.0523
2020,中信股份,综合,4645,4337,0.93,,,,,,,,,
2020,复星国际,综合,1366,2213,1.62,,,,,,,,,
2020,复星国际,综合,1366,2213,1.62,,,,,,,,,
2020,太古股份公司A,综合,674,840,1.25,,,,,,,,,
2020,中信股份,综合,4645,4337,0.93,,,,,,,,,
2022,中信股份,综合,5884,5332,0.91,-,-,-,150,1,12,0.0125,0.0025,0.0012
2022,泉阳泉,综合,7,3556,,,,,2,0.1,6,0.0017,0.001,0.00015
2020,太古股份公司A,综合,674,840,1.25,,,,50,1,10,0.1,0.3,0.12
2021,中信股份,综合,5884,5332,0.91,,,,502.3,1.78,12.34,0.01445,0.00189,0.01445
2021,复星国际,综合,1613,2197,1.36,,,,102.3,1.23,8.9,0.01378,0.00189,0.01378
2022,航发动力,军工,346,3764,,,,,120,2.5,20,0.0125,0.0018,0.0012
2022,中国动力,军工,395,3626,,,,,30,0.6,10,0.006,0.0015,0.00055
2022,中船防务,军工,245,3425,,,,,10,0.7,10,0.007,0.0015,0.00065
2022,舍得酒业,食品饮料,49,3545,,,,,17,3,15,0.0113,0.003,0.0011
2022,山西汾酒,食品饮料,173,3456,,,,,260,8,25,0.032,0.004,0.00315
2022,中粮糖业,食品饮料,209,3307,,,,,10,0.5,10,0.005,0.0014,0.00045
2020,中国联通,通信,3038,1423,0.47,,,,124.93,0.33,3.18,0.1037,0.2619,0.1067
2020,中国电信,通信,3936,1376,0.35,,,,208.04,0.27,3.62,0.074,0.3032,0.0761
2020,中国移动,通信,7681,1818,0.24,,,,1078.43,4.88,15.27,0.104,0.2811,0.1069
2020,中国移动,通信,7681,1818,0.24,,,,1000,5,50,0.1,0.3,0.12
2020,中国联通,通信,3038,1423,0.47,,,,55,0.18,4.5,0.05,0.3,0.06
2020,中国电信,通信,3936,1376,0.35,,,,200,0.25,4,0.06,0.3,0.07
2021,中国移动,通信,8483,3382,0.4,,,,1161.5,5.67,45.67,0.01234,0.00289,0.01234
2021,中国电信,通信,4342,1546,0.36,,,,259.52,0.31,4.56,0.0678,0.289,0.0678
2022,宝光股份,电气设备,22,3534,,,,,1,0.2,5,0.002,0.001,0.00018
2022,东方电气,电气设备,421,3343,,,,,50,1.5,15,0.01,0.002,0.00095
2022,金地集团,房地产,992,3897,,,,,100,2.2,15,0.0147,0.0025,0.0014
2022,新湖中宝,房地产,184,3488,,,,,40,1,12,0.0083,0.002,0.0008
2022,营口港,交通运输,55,3926,,,,,10,0.3,8,0.0038,0.0012,0.00035
2022,山东高速,交通运输,114,3657,,,,,50,1,12,0.0083,0.002,0.0008
2022,兴业银行,金融,2212,5205,,-,-,-,800,3.5,20,,,
2022,五矿资本,金融,148,3615,,,,,30,0.7,12,0.0058,0.0014,0.00055
2022,新奥股份,能源,1941,5143,,,,,58.44,1.83,12.5,0.0152,0.00205,0.00148
2022,广汇能源,能源,448,3257,,,,,113.02,1.7,5.8,0.02378,0.03345,0.02378
2020,玖龙纸业,造纸,513,1355,2.64,,,,71.77,1.25,6.51,0.1924,0.1678,0.1986
2020,玖龙纸业,造纸,513,1355,2.64,,,,30,0.6,5,0.12,0.2,0.13
2021,玖龙纸业,造纸,616,1543,2.51,,,,78.6,1.67,8.9,0.1876,0.224,0.1876
2020,中远海控,航运,1713,2084,1.22,,,,99.27,0.67,4.34,0.1543,0.1384,0.1594
2020,中远海控,航运,1713,2084,1.22,-,-,-,100,0.8,6,0.13,0.25,0.15
2021,中远海控,航运,3337,2285,0.68,,,,892.5,5.67,25.67,0.03456,0.0456,0.03456
2022,三一重工,机械,1058,4945,,,,,42.73,0.51,12,0.0043,0.0024,0.0004
2022,东方明珠,传媒,204,3686,,,,,40,1,12,0.0083,0.0025,0.0008
2022,雅戈尔,纺织服装,143,3567,,,,,50,1.5,15,0.01,0.002,0.00095
2022,海尔智家,家电,1316,3559,,,,,145,1.5,18,0.0139,0.0028,0.00135
2022,紫江企业,包装,93,3365,,,,,10,0.6,10,0.006,0.0018,0.00055
2022,凯盛科技,建材,45,3299,,,,,5,0.6,10,0.006,0.0018,0.00055
2022,方大炭素,非金属材料,106,3268,,,,,8.4,0.22,3.6,0.00553,0.002588,0.000553
2022,申华控股,汽车服务,125,3246,,,,,-1.86,-0.09,1.2,-0.0075,0.00142,-0.0075
2022,通威股份,农林牧渔,674,3234,,,,,252,5.5,15,0.035,0.00356,0.0035
2022,宝信软件,计算机应用,95,3219,,,,,19.5,1.2,12,0.016,0.003,0.0016
2023年,通威股份,光伏,215.2371,554.23,2.58,,,,,,9.45,,,
2023年,隆基绿能,光伏,1295,507.92,0.39,,,,107.51,,,,0.001826,0.00162
2023年,中国广核,核电,825,33.04,0.04,,3338.27,,,,,,,
2023年,新天绿能,清洁能源,202.82,3.489,0.02,142.54,,,22.07,0.51,4.98,0.00107,0.093238,
